antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
gen=Early(1-3),legendary=No,0.4014962593516209,0.8869492934330839,0.37323358270989193,0.9296066252587992,1.048094442536397,0.01712675916194556,1.6059850374064855,0.07667037861915389
"dual_type=Yes, gen=Early(1-3)",legendary=No,0.20947630922693267,0.8869492934330839,0.19451371571072318,0.9285714285714285,1.046927299504619,0.008718851250925058,1.5827098919368232,0.05670144786864032
"dual_type=Yes, type1=Water",legendary=No,0.05652535328345802,0.8869492934330839,0.05236907730673317,0.9264705882352942,1.044558685704835,0.002233955150914624,1.5374896093100594,0.04521362142507519
"dual_type=Yes, type1=Grass",legendary=No,0.05569409808811305,0.8869492934330839,0.051537822111388194,0.9253731343283582,1.0433213501377834,0.0021399811637434554,1.5148794679966755,0.043971490231712894
"dual_type=No, gen=Mid(4-6)",legendary=No,0.14131338320864506,0.8869492934330839,0.13050706566916043,0.9235294117647058,1.0412426263851369,0.005169260279614063,1.4783553935673628,0.04612747485833722
"legendary=No, type1=Grass",dual_type=Yes,0.08977556109725686,0.5527847049044057,0.051537822111388194,0.5740740740740741,1.0385129490392648,0.001911265062613618,1.0499837363113953,0.04074237737516558
type1=Fire,legendary=No,0.06317539484621779,0.8869492934330839,0.058187863674147966,0.9210526315789475,1.0384501553790757,0.0021544918529390056,1.4319756165142719,0.03952338699454944
legendary=No,dual_type=No,0.8869492934330839,0.4472152950955943,0.40980881130507063,0.4620431115276476,1.033155879493978,0.01315152130756514,1.0275632058066215,0.28387125641331634
dual_type=No,legendary=No,0.4472152950955943,0.8869492934330839,0.40980881130507063,0.9163568773234201,1.033155879493978,0.01315152130756514,1.3515840029555746,0.05805487349204666
"gen=Mid(4-6), legendary=No",dual_type=No,0.2826267664172901,0.4472152950955943,0.13050706566916043,0.4617647058823529,1.0325333479116554,0.004112052923938431,1.0270316921721196,0.04392173649910336
type1=Rock,legendary=No,0.05569409808811305,0.8869492934330839,0.05070656691604322,0.9104477611940298,1.0264935864258837,0.001308725968398483,1.2623995566638957,0.02733202493650428
"gen=Recent(7-9), legendary=No",dual_type=Yes,0.2310889443059019,0.5527847049044057,0.13050706566916043,0.564748201438849,1.0216422350841132,0.0027646317843517954,1.027486380467564,0.02755035290067122
gen=Early(1-3),"dual_type=Yes, legendary=No",0.4014962593516209,0.4771404821280133,0.19451371571072318,0.48447204968944096,1.0153656372411106,0.002943596951096916,1.014221474426384,0.025284900284900387
"dual_type=Yes, legendary=No",gen=Early(1-3),0.4771404821280133,0.4014962593516209,0.19451371571072318,0.4076655052264808,1.0153656372411106,0.002943596951096916,1.010415138624028,0.028942970119440827
dual_type=Yes,gen=Mid(4-6),0.5527847049044057,0.32086450540315875,0.17955112219451372,0.32481203007518794,1.0123027776695626,0.002182131260930531,1.0058465565855221,0.02717540961035396
gen=Mid(4-6),dual_type=Yes,0.32086450540315875,0.5527847049044057,0.17955112219451372,0.5595854922279793,1.0123027776695623,0.002182131260930531,1.0154417876876436,0.017895190171812028
"dual_type=No, gen=Recent(7-9)",legendary=No,0.11388196176226101,0.8869492934330839,0.10058187863674148,0.8832116788321168,0.9957859884114681,-0.000425646883069411,0.9679966749792192,-0.004753013070785939
"dual_type=Yes, legendary=No",gen=Mid(4-6),0.4771404821280133,0.32086450540315875,0.15211970074812967,0.31881533101045295,0.993613583434132,-0.0009777440577000418,0.9969917491012452,-0.012143629529187792
gen=Mid(4-6),"dual_type=Yes, legendary=No",0.32086450540315875,0.4771404821280133,0.15211970074812967,0.4740932642487047,0.993613583434132,-0.0009777440577000418,0.9942057827516595,-0.009375455521248955
gen=Mid(4-6),legendary=No,0.32086450540315875,0.8869492934330839,0.2826267664172901,0.8808290155440416,0.993099630458746,-0.0019637799377974496,0.948642885539775,-0.010127502476640854
legendary=No,gen=Mid(4-6),0.8869492934330839,0.32086450540315875,0.2826267664172901,0.3186504217432053,0.993099630458746,-0.0019637799377974496,0.9967504439268635,-0.05790310093313051
"dual_type=No, legendary=No",gen=Mid(4-6),0.40980881130507063,0.32086450540315875,0.13050706566916043,0.3184584178498986,0.992501234905254,-0.0009860358800974633,0.9964696393935797,-0.01263983985402597
gen=Mid(4-6),"dual_type=No, legendary=No",0.32086450540315875,0.40980881130507063,0.13050706566916043,0.4067357512953368,0.9925012349052539,-0.0009860358800974633,0.994820082254335,-0.011002652356279067
type1=Electric,legendary=No,0.059850374064837904,0.8869492934330839,0.05236907730673317,0.875,0.9865276476101219,-0.000715169681780585,0.9044056525353286,-0.01431772908366532
gen=Recent(7-9),"dual_type=Yes, legendary=No",0.2776392352452203,0.4771404821280133,0.13050706566916043,0.47005988023952094,0.9851603413382294,-0.0019658528933968744,0.9866388642330144,-0.020426772354571413
gen=Mid(4-6),dual_type=No,0.32086450540315875,0.4472152950955943,0.14131338320864506,0.4404145077720208,0.9847930350366934,-0.0021821312609305032,0.987846741171762,-0.022231921603964668
dual_type=No,gen=Mid(4-6),0.4472152950955943,0.32086450540315875,0.14131338320864506,0.3159851301115242,0.9847930350366934,-0.0021821312609305032,0.9928665654703821,-0.02717540961035362
"gen=Mid(4-6), tier=Strong",legendary=No,0.07813798836242726,0.8869492934330839,0.06816292601828762,0.872340425531915,0.9835290833316718,-0.0011415075500497696,0.8855638681075102,-0.01784209957878796
tier=Strong,gen=Mid(4-6),0.24771404821280132,0.32086450540315875,0.07813798836242726,0.31543624161073824,0.983082379942275,-0.0013446571987874578,0.9920704774012682,-0.022363703226992715
